OBJECTID,type_,desc_type,nom_plant,culture,echelle,province,nom_acquer,etat_plant,sup_adm_ha,sup_sig_ha,created_user,created_date,last_edited_user,last_edited_date,globalid,proprietaire,note,Shape__Area,Shape__Length
48,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,213,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,a37e3e0c-a9f3-45fd-a0e8-1678d3da0706, , ,2135522.96417236,6205.30856587681
49,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,121,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,9ee9104f-cca4-4428-bf48-3dfbcaa7769f, , ,1233848.92773438,5084.77821337295
50,5120100,Culture annuelle, , ,De plus de 1000 hectares,, ,En activité,1560,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,75d5df56-a8b6-49b2-9c52-b86b5007b6b2, , ,15894363.5683594,26100.1779602541
51,5120100,Culture annuelle, , ,De 30 à 100 hectares,, ,N.I.,40,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,511ccf5e-004f-4e12-aff9-e7c6982d7136, , ,398970.265563965,3134.07735390589
52,5120100,Culture annuelle, , ,De 30 à 100 hectares,, ,En activité,40,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,3ee6263d-c37b-4c27-b5dc-4c3b53b018a4, , ,405913.17578125,3017.41656967908
53,5120100,Culture annuelle, , ,De 30 à 100 hectares,, ,En activité,44,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,aa797e90-a856-4906-bdff-44229c98ed9f, , ,442351.911132812,3954.3632308305
54,5120100,Culture annuelle, , ,De 30 à 100 hectares,, ,En activité,53,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,3a7f4d60-2d24-418c-ae72-a4c2b191adae, , ,535002.347290039,3071.93952795816
55,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,754,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,2c05cd0c-6c34-4c02-97fc-afbd25245bf1, , ,7690725.1262207,20611.162120963
56,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,425,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,c4fbe08b-9c00-4960-9511-433a0b1e29c7, , ,4339607.73583984,14218.3483110948
57,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,176,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,d0017334-7451-403a-ba64-c1de21901896, , ,1791132.93066406,6576.55792373591
