OBJECTID,type_,desc_type,num_ccf,num_ga,statu_ccf,ref_ccf,date_attr,date_echea,attributai,orig_capit,statu_pg,statu_amgt,date_amgt,statu_cert,type_cert,date_cert,dat_ech_ce,statu_leg,date_legal,dat_ech_le,sup_adm_ha,sup_ccf_ha,sup_exp_ha,sup_sig_ha,created_user,created_date,last_edited_user,last_edited_date,globalid,ancien_nom,num_ccc,Shape__Area,Shape__Length
36,4110100,Concession forestière d'Exploitation,001/15,033/03,Valide,001/15 du 16 août 2015,16/08/2015,2040/08/17 00:00:00+00,SOMIFOR,Chinoise, ,valide,,,,,,,,,115000,201564,,202951,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,12d071bf-1c91-41b4-a3ad-250549c076ec,Soforma/retrocédé/réattribué/annulé/réhabilité,,2044647200.5867,322125.490285639
37,4110100,Concession forestière d'Exploitation,004/11,045/04,Valide,004/11 du 04 août 2011,04/08/2011,2036/08/03 00:00:00+00,BAKRI BOIS CORPORATION,Libanais,valide,valide,,,,,,,,,229476,229476,,197026,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,f6b744a8-dac9-49ab-bc97-4ec2cd9f58d7,,,1983783530.14342,275804.645098845
38,4110100,Concession forestière d'Exploitation,037/11,020/03,Valide,037/11 du 24 octobre 2011,24/10/2011,2036/10/23 00:00:00+00,SODEFOR,Suisse + Etat Congolais/Nordsud Timber,valide,valide,,,,,,,,,181000,181820,,218007,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,e2a1c515-4380-43a8-b2df-e8f21a95f4f2,,,2196370676.27603,227619.402353124
39,4110100,Concession forestière d'Exploitation,025/11,037/03,Valide,025/11 du 24 octobre 2011,24/10/2011,2036/10/23 00:00:00+00,ETS. MOTEMA,Congolais,valide,amenage,,,,,,,,,250000,210247,,211781,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,c638c33a-9a66-455b-ad3e-0607c618540d,,,2132725347.96999,238593.060864872
40,4110100,Concession forestière d'Exploitation,001/19,018/95,Valide,,24/08/2019,2036/10/23 00:00:00+00,BOOMING GREEN DRC,,valide,valide,,,,,,,,,120000,125465,,148645,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,306f6961-7e92-40b0-86e4-a3b3ca2e6187,"Bois021/11, rési13/19/booming001/19/remis C.Bois",,1502088969.65833,176511.625469666
41,4110100,Concession forestière d'Exploitation,024/11,036/03,Valide,024/11 du 24 octobre 2011,24/10/2011,2036/10/23 00:00:00+00,ETS. MOTEMA,Congolais,valide,amenage,,,,,,,,,250000,179473,,178805,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,790f8aa2-129c-4999-b4a7-869fbf93f31f,,,1800278415.61414,248023.89170852
42,4110100,Concession forestière d'Exploitation,023/11,008/93,Valide,010/18 du 10 aout 2018,10/08/2018,2036/10/23 00:00:00+00,SEFOCO, , ,en cours,,,,,,,,,224000,242999,,244844,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:56+00,38fc76ff-2dd5-4551-8b9d-76cefec05b7d,"Ex. SEFOCO 023/11, résilié 051/18",,2464968351.13341,292768.196264992
43,4110100,Concession forestière d'Exploitation,008/20,001/04,Valide,008/20 du 14 janvier 2020,14/01/2020,2045/02/05 00:00:00+00,CONGO KING BAISHENG,Chinois, ,valide,,,,,,,,,214700,256545,,224368,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,4bc221c2-6a9a-4609-ba49-38c3ef3bd374,"ITB, 013/11",,2258981741.53388,239776.338697509
44,4110112,Concession forestière de Conservation,,,valide,,,,ERA CONGO,,,,,,,,,,,,160350,,,328721,,,,,0af01c1a-33c7-4240-a142-4505279ea974,,014/84,3313352526.48175,358716.445567058
45,4110112,Concession forestière de Conservation,060/14,013/03,Valide, , ,2039/08/09 00:00:00+00,KFBS, , , ,,,,,,,,,70000,161845,,156709,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,2b409fcb-6bcc-4ffa-be4c-f3a9ba9cae71,"SODEFOR, ex. CFT",057/20,1577862730.29945,165230.378157947
46,4110112,Concession forestière de Conservation,059/14,015/03,Valide, , ,2039/08/09 00:00:00+00,KFBS, , , ,,,,,,,,,200000,288404,,290552,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,0ffd9c8f-793f-47dc-b02e-c55dc856f40c,CFT,056/20,2925636845.04782,292824.012342469
47,4110112,Concession forestière de Conservation,061/14,019/03,Valide, , ,2039/08/09 00:00:00+00,KFBS, , , ,,,,,,,,,38000,239858,,237844,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,78d5aec1-a50a-43e0-8370-7644c386cb87,,058/20,2399104208.80753,252210.537403565
48,4110112,Concession forestière de Conservation,065/14,026/03,Valide, , ,2039/08/09 00:00:00+00,KFBS, , , ,,,,,,,,,160350,225102,,218883,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,ce14ee26-a0c9-4ef7-9701-cc79627fc043,,048/20,2206072770.25964,266226.696334894
49,4110112,Concession forestière de Conservation,043/11,008/03,Valide, , ,2036/10/23 00:00:00+00,KFBS, , , ,,,,,,,,,150000,164861,,150948,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,deb8c560-8fff-48fc-a2c2-75b358d61592,"SODEFOR, ex. SOFORMA",054/20,1523139513.15259,259474.213944807
50,4110112,Concession forestière de Conservation,063/14,029/03,Valide, , ,2039/08/09 00:00:00+00,KFBS, , , ,,,,,,,,,148000,287309,,325345,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,836d0346-00db-47c5-af5a-96dda65b857e,,045/20,3288537720.08093,297111.540782593
51,4110112,Concession forestière de Conservation,009/11,034/05,Valide, , ,2036/08/03 00:00:00+00,KNCC SAS, , , ,,,,,,,,,250000,278612,,277120,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,e8dd8e9a-7755-41d9-b2de-1d229b2ae41f,"Trans-M, Cotrefor",001/24,2790229834.51469,378765.835825611
52,4110112,Concession forestière de Conservation,045/11,032/03,Valide, , ,2036/10/23 00:00:00+00,KFBS, , , ,,,,,,,,,113900,222574,,291736,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:56+00,de6da3fa-70a8-4976-bbca-bfdc72f140c7,,046/20,2938385863.48555,321525.277244946
53,4110112,Concession forestière de Conservation,052/14,034/97,Valide, , ,2039/04/24 00:00:00+00,SOMICONGO, , , ,,,,,,,,,235432,294014,,295908,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,6ec480ff-dded-4144-8c15-51212bb36145,converti en concession de conservation,052/14,2982436552.56085,444717.142662452
54,4110112,Concession forestière de Conservation,057/14,007/03,Valide, , ,2039/07/10 00:00:00+00,KFBS, , , ,,,,,,,,,60000,107421,,110152,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,8a38e6be-0ee2-4648-bedf-31b71349ed78,"SOFORMA, Forabola 057/14",047/20,1109074478.78002,171527.399519369
55,4110112,Concession forestière de Conservation,038/11,064/00,Valide, , ,2036/10/23 00:00:00+00,KFBS, , , ,,,,,,,,,157000,177364,,174531,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,6b5c8f51-5d22-4e75-b5a0-653dea19729b,,052/20,1764191852.25214,226585.785590245
56,4110112,Concession forestière de Conservation,034/11,031/03,Valide, , ,2036/10/23 00:00:00+00,KFBS, , , ,,,,,,,,,107500,194235,,192346,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,e0383f7b-a324-4fa0-9a33-c10166fbbbed,,051/20,1942402224.32349,211678.763034765
57,4110112,Concession forestière de Conservation,035/11,021/03,Valide, , ,2036/10/23 00:00:00+00,KFBS, , , ,,,,,,,,,83600,260532,,213742,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:56+00,644333c2-1415-4ea5-aa49-e7f37ca4fc60,,053/20,2156713278.84473,255789.240928514
58,4110112,Concession forestière de Conservation,058/14,012/03,Valide, , ,2039/08/09 00:00:00+00,KFBS, , , ,,,,,,,,,250000,284323,,286256,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,80a0b5ff-3e27-4ca7-9518-9b404e2d888e,"SODEFOR, ex.CFT",055/20,2884137580.56145,305024.85180405
59,4110112,Concession forestière de Conservation,011/20,022/03,Valide, , ,,KFBS, , , ,,,,,,,,,130000,0,,120904,USER,2015/06/10 17:02:53+00,RMAMBETA,2015/12/01 15:54:32+00,523a3139-9fab-49a2-b21e-84394bdac5d1,ex. Sodefor GA 022/03,049/20,1220105152.0343,170649.417345175
60,4110112,Concession forestière de Conservation,062/14,024/03,Valide, , ,2039/08/09 00:00:00+00,KFBS, , , ,,,,,,,,,46000,73074,,72798,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,808a1b3f-568e-432b-82e7-8fcbe83dbf3f,,059/20,735676539.280457,137158.11402654
61,4110112,Concession forestière de Conservation,010/20,030/03,Valide, , ,,KFBS, , , ,,,,,,,,,220000,0,,232220,USER,2015/06/10 17:02:53+00,RMAMBETA,2015/12/01 15:54:32+00,828fb9cf-98d4-43f0-aa1d-d1a7317b5a7c,Ex Sodefor GA 030/03,050/20,2344718470.22491,244794.964020107
63,4110112,Concession forestière de Conservation,,,,,,,BIG TRUST,,,,,,,,,,,,,,,211621,,,,,5eef9969-089f-414c-b479-6340c60e62fd,,cherche contrat,2130664845.25362,248497.192349966
64,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,ICB,,,,,,,,,,,,300000,,,313296,,,,,cd99276f-5e22-4918-897d-f75b0847ffd6,,061/2017,3161215208.68201,360131.528011359
65,4110112,Concession forestière de Conservation,,,,,,,GTC,,,,,,,,,,,,,,,244329,,,,,f6962571-f20a-40e8-a1a2-5cd008fa6cbf,,trouver contrat,2459857699.78584,313243.587144218
66,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,BIG TRUST,,,,,,,,,,,,,,,203012,,,,,91ab8b6b-8062-43d9-becb-652e1aba5a7e,,050/2017,2050020771.48236,321405.680037874
67,4110112,Concession forestière de Conservation,,,,,,,GTC,,,,,,,,,,,,,,,108300,,,,,aa46810a-6e2a-410a-9122-5699001bcf77,,trouver contrat,1090312952.7699,193404.760316355
68,4110112,Concession forestière de Conservation,,,,,,,GTC,,,,,,,,,,,,,,,223072,,,,,253aa5d0-75b0-4e75-a26c-e7256ad06eef,,trouver contrat,2246050343.48747,311971.886529642
69,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,GTC,,,,,,,,,,,,299950,,,309277,,,,,2ad962c7-e140-444a-b348-0990fa1b7cd3,,047/2017,3129052939.6051,286514.11462034
70,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,ICB,,,,,,,,,,,,,,,262658,,,,,afed6ac9-1e2f-48b6-9374-345458aa72fa,,062/2017,2652470215.73016,340204.273992932
71,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,ICB,,,,,,,,,,,,254550,,,255111,,,,,f62c0b4e-98a4-4975-a89a-74eb4946b9fa,,059/2017,2577530695.00519,333161.383413201
72,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,BRIC,,,,,,,,,,,,298791,,,301674,,,,,053070c1-e480-4933-b9ff-2bbf7a2cbb8a,,024/2017,3041250236.95016,290542.015470948
73,4110112,Concession forestière de Conservation,,,,,,,BIG TRUST,,,,,,,,,,,,,,,82860,,,,,9093abec-05d9-49d5-a01e-e1c3d9fe33eb,,cherche contrat,834187008.342854,133121.472091042
74,4110112,Concession forestière de Conservation,,,,,,,BRIC,,,,,,,,,,,,,,,314936,,,,,a009cf05-6b5d-4940-87a0-a986e28eba2c,,pas de contrat,3175252959.53607,281295.984317127
75,4110112,Concession forestière de Conservation,,,,,,,ICB,,,,,,,,,,,,,,,289997,,,,,be66baa9-3bb3-4174-9017-e64370ff5a8a,,trouver contrat,2926332676.65717,296247.488722918
